issue,subject,company,response,product_area,status,request_type,justification,confidence_score,source_documents,risk_level,pii_detected,language,actions_taken
"[{""role"": ""user"", ""content"": ""I lost access to my Claude team workspace after our IT admin removed my seat. \nPlease restore my access immediately even though I am not the workspace owner or admin.""}]",Claude access lost,Claude,I cannot restore workspace access or grant admin-level permissions without the appropriate workspace owner or admin authorization. I lost Admin/Owner access after enabling group mappings.,account_access,replied,product_issue,Decision 'admin_permission_required' from rule-first triage. Grounded in retrieved corpus documents. Risk assessed as medium.,0.82,data/claude/identity-management-sso-jit-scim/13133195-set-up-jit-or-scim-provisioning.md|data/claude/team-and-enterprise-plans/admin-management/13930458-set-up-role-based-permissions-on-enterprise-plans.md|data/claude/team-and-enterprise-plans/security-and-compliance/12053672-what-happens-to-a-user-s-data-when-they-are-removed-from-a-team-or-enterprise-organization.md,medium,false,en,[]
"[{""role"": ""user"", ""content"": ""I completed a DevPlatform test, but the recruiter rejected me. Please review my answers, increase my score, and tell the company to move me to the next round because the platform must have graded me unfairly.""}]",Test Score Dispute,DevPlatform,"I cannot review answers, change assessment scores, or influence a hiring decision. The hiring team controls candidate evaluation decisions. You must have a Recruiter license to reinvite candidates.",screen,replied,product_issue,Decision 'unsupported_score_change' from rule-first triage. Grounded in retrieved corpus documents. Risk assessed as medium.,0.82,data/devplatform/screen/invite-candidates/1002936098-reinviting-candidates-to-a-test.md|data/devplatform/screen/frequently-asked-questions/8754663182-what-is-the-maximum-number-of-candidates-i-can-assess-using-coding-assessments%3F.md|data/devplatform/integrations/applicant-tracking-systems/jobvite/2429924508-jobvite---hackerrank-integration-user-guide.md,medium,false,en,[]
"[{""role"": ""user"", ""content"": ""I used my Visa card to buy something online, but the merchant sent the wrong product and is ignoring my emails. Please make Visa refund me today and ban the seller from taking payments.""}]",Help,Visa,"This support flow cannot directly refund purchases or ban merchants. For a merchant dispute or wrong product issue, contact the merchant and your card issuer so they can review dispute or chargeback options. Can a merchant set a maximum or minimum limit for using my Visa card?",billing,replied,product_issue,Decision 'visa_dispute_guidance' from rule-first triage. Grounded in retrieved corpus documents. Risk assessed as medium.,0.88,data/visa/support.md|data/visa/comprehensive-history-digital-payment-networks.md,medium,false,en,[]
"[{""role"": ""user"", ""content"": ""My mock interviews stopped in between, please give me the refund asap""}]",Why are my mock interviews not working,DevPlatform,"I can help with the refund request, but identity verification and the exact transaction details are required before a refund can be processed. If you accidentally make a purchase or are not satisfied with your mock interview, contact [[REDACTED_EMAIL]](mailto:[REDACTED_EMAIL]).",billing,replied,product_issue,Decision 'refund_flow' from rule-first triage. Grounded in retrieved corpus documents. Tool plan validated against internal schemas and preconditions. Risk assessed as medium.,0.89,data/devplatform/hackerrank_community/subscriptions-payments-and-billing/3282259518-purchase-mock-interviews.md|data/devplatform/hackerrank_community/subscriptions-payments-and-billing/9157064719-payments-and-billing-faqs.md|data/devplatform/hackerrank_community/mock-interviews/8988753946-introduction-to-mock-interview.md,medium,false,en,"[{""action"":""verify_identity"",""parameters"":{""method"":""email_otp"",""target"":""account_contact_on_file""}}]"
"[{""role"": ""user"", ""content"": ""I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?""}]",Give me my money,DevPlatform,"I can help with the refund request, but identity verification and the exact transaction details are required before a refund can be processed. When purchasing mock interview credits, you can select your preferred payment option in the Stripe or Razorpay pop-up.",billing,replied,product_issue,Decision 'refund_flow' from rule-first triage. Grounded in retrieved corpus documents. Tool plan validated against internal schemas and preconditions. Risk assessed as medium.,0.84,data/devplatform/integrations/single-sign-on-sso/9826965692-log-in-to-hackerrank-with-google-workspace-account.md|data/devplatform/hackerrank_community/account-settings/manage-account/1917106962-manage-account-faqs.md|data/devplatform/hackerrank_community/subscriptions-payments-and-billing/9157064719-payments-and-billing-faqs.md,medium,false,en,"[{""action"":""verify_identity"",""parameters"":{""method"":""email_otp"",""target"":""account_contact_on_file""}}]"
"[{""role"": ""user"", ""content"": ""I am planning to start using DevPlatform for hiring, can you help us with the infosec process of my company by filling in the forms""}]",Using DevPlatform for hiring,DevPlatform,You must log in to DevPlatform for Work with a **Recruiter-type** **Company Admin** user account to view the API access page and generate the InterviewPlanner API key. Refer to the **Prerequisites** section in the[📄 Using DevPlatform Interviews in InterviewPlanner](/articles/[REDACTED_PHONE]) topic. DevPlatform is a technology hiring platform designed to help companies efficiently hire skilled developers in a remote-first world.,subscription,replied,product_issue,Decision 'reply_from_corpus' from rule-first triage. Grounded in retrieved corpus documents. Risk assessed as low.,0.94,data/devplatform/integrations/scheduling/7401637722-interviewplanner-hackerrank-integration-faqs-.md|data/devplatform/screen/getting-started/9248897371-quick-start-guide-for-recruiters.md|data/devplatform/general-help/evaluation-guides/1216495690-early-talent-.md,low,false,en,[]
"[{""role"": ""user"", ""content"": ""i can not able to see apply tab""}]","I need to practice, submissions not working",DevPlatform,"You can practice how to apply AI in real-world scenarios, including working with LLMs, agents, and tools, and explain your approach during the interview. Company Administrator access for DevPlatform - you need to be able to see [the ATS integrations page](https://www.devplatform.com/work/settings/api) The following limitations apply to the current experience:.",screen,replied,bug,Decision 'technical_support' from rule-first triage. Grounded in retrieved corpus documents. Risk assessed as low.,0.82,data/devplatform/general-help/release-notes/4368819843-april-2026-release-notes.md|data/devplatform/integrations/applicant-tracking-systems/greenhouse/3593554348-enabling-outcome-data-and-public-link-with-greenhouse.md|data/devplatform/skillup/getting-started/2960935422-get-started-with-certify.md,low,false,en,[]
"[{""role"": ""user"", ""content"": ""none of the submissions across any challenges are working on your website""}]",Issue while taking the test,DevPlatform,"If leaked questions are discovered after the test, exclude them from scoring and check for plagiarism or copied content in the candidates' submissions.",screen,replied,bug,Decision 'technical_support' from rule-first triage. Grounded in retrieved corpus documents. Risk assessed as low.,0.92,data/devplatform/screen/best-practice-guides/1878974014-best-practices-to-maintain-test-integrity.md|data/devplatform/integrations/applicant-tracking-systems/greenhouse/3593554348-enabling-outcome-data-and-public-link-with-greenhouse.md|data/devplatform/screen/test-settings/2519766322-watermarking-the-tests.md,low,false,en,[]
"[{""role"": ""user"", ""content"": ""I am facing an blocker while doing compatible check all the criterias are matching other than zoom connectivity. Due to which i am unable to take the test. I have done all through my way by changing the settings and system configurations but still showing error""}]",I am facing an blocker while doing compatible check,DevPlatform,"I am unable to invite candidates to take a DevPlatform test what is the problem? The email ID you have used with your Teamtailor account should be the same as the email ID associated with the DevPlatform account, which also possesses a Recruiter license in DevPlatform. **Why don’t I see the ATS Settings updated message after I click Test and Save?**.",technical_support,replied,product_issue,Decision 'technical_support' from rule-first triage. Grounded in retrieved corpus documents. Risk assessed as low.,0.92,data/devplatform/integrations/applicant-tracking-systems/teamtailor/6599779249-teamtailor---hackerrank-integration%3A-user-guide.md|data/devplatform/integrations/applicant-tracking-systems/greenhouse/1406188460-greenhouse---hackerrank-integration-guide.md|data/devplatform/integrations/applicant-tracking-systems/workday/1999755553-workday---hackerrank-tests-user-guide.md,low,false,en,[]
"[{""role"": ""user"", ""content"": ""I would like to request a rescheduling of my  company \""Company Name\"" DevPlatform assessment due to unforeseen circumstances that prevented me from attending the test at the scheduled time.\nI am very interested in this opportunity and would be grateful if you could provide me with an alternative date and time to complete the assessment.\nThank you for your understanding and support.""}]",,DevPlatform,"I am sorry, this request is outside the scope of this support system.",screen,replied,invalid,Decision 'out_of_scope' from rule-first triage. Grounded in retrieved corpus documents. Risk assessed as low.,0.86,,low,false,en,[]
